<<<<<<< HEAD
,Fur color,Count
0,Gray,2473
1,Cinnamon,103
2,Black,392
=======
,Fur color,Count
0,Gray,2473
1,Cinnamon,103
2,Black,392
>>>>>>> 6bb0f90e7b2042da98278b61b14da243c44df510
